m_pokedex,m_pokemon,m_baseHP,m_baseAtk,m_baseDef,m_baseSpd,m_baseSpe,m_type1,m_type2,m_catchRate,m_expYield,m_expGroup,m_evolve,m_kind,m_height,m_weight,m_description
58,GROWLITHE,,,,,,,,75,91,,,,,,
59,ARCANINE,,,,,,,,190,213,,,,,,
60,POLIWAG,,,,,,,,75,77,,,,,,
61,,,,,,,,,,,,,,,,
62,,,,,,,,,,,,,,,,
63,,,,,,,,,,,,,,,,
64,,,,,,,,,,,,,,,,
65,,,,,,,,,,,,,,,,
66,,,,,,,,,,,,,,,,
67,,,,,,,,,,,,,,,,
68,,,,,,,,,,,,,,,,
69,,,,,,,,,,,,,,,,
70,,,,,,,,,,,,,,,,
71,,,,,,,,,,,,,,,,
72,,,,,,,,,,,,,,,,
73,,,,,,,,,,,,,,,,
74,,,,,,,,,,,,,,,,
75,,,,,,,,,,,,,,,,
76,,,,,,,,,,,,,,,,
77,,,,,,,,,,,,,,,,
78,,,,,,,,,,,,,,,,
79,,,,,,,,,,,,,,,,
80,,,,,,,,,,,,,,,,
81,,,,,,,,,,,,,,,,
82,,,,,,,,,,,,,,,,
83,,,,,,,,,,,,,,,,
84,,,,,,,,,,,,,,,,
85,,,,,,,,,,,,,,,,
86,,,,,,,,,,,,,,,,
87,,,,,,,,,,,,,,,,
88,,,,,,,,,,,,,,,,
89,,,,,,,,,,,,,,,,
90,,,,,,,,,,,,,,,,
91,,,,,,,,,,,,,,,,
92,,,,,,,,,,,,,,,,
93,,,,,,,,,,,,,,,,
94,,,,,,,,,,,,,,,,
95,,,,,,,,,,,,,,,,
96,,,,,,,,,,,,,,,,
97,,,,,,,,,,,,,,,,
98,,,,,,,,,,,,,,,,
99,,,,,,,,,,,,,,,,
100,,,,,,,,,,,,,,,,
101,,,,,,,,,,,,,,,,
102,,,,,,,,,,,,,,,,
103,,,,,,,,,,,,,,,,
104,,,,,,,,,,,,,,,,
105,,,,,,,,,,,,,,,,
106,,,,,,,,,,,,,,,,
107,,,,,,,,,,,,,,,,
108,,,,,,,,,,,,,,,,
109,,,,,,,,,,,,,,,,
110,,,,,,,,,,,,,,,,
111,,,,,,,,,,,,,,,,
112,,,,,,,,,,,,,,,,
113,,,,,,,,,,,,,,,,
114,,,,,,,,,,,,,,,,
115,,,,,,,,,,,,,,,,
116,,,,,,,,,,,,,,,,
117,,,,,,,,,,,,,,,,
118,,,,,,,,,,,,,,,,
119,,,,,,,,,,,,,,,,
120,,,,,,,,,,,,,,,,
121,,,,,,,,,,,,,,,,
122,,,,,,,,,,,,,,,,
123,,,,,,,,,,,,,,,,
124,,,,,,,,,,,,,,,,
125,,,,,,,,,,,,,,,,
126,,,,,,,,,,,,,,,,
127,,,,,,,,,,,,,,,,
128,,,,,,,,,,,,,,,,
129,,,,,,,,,,,,,,,,
130,,,,,,,,,,,,,,,,
131,,,,,,,,,,,,,,,,
132,,,,,,,,,,,,,,,,
133,,,,,,,,,,,,,,,,
134,,,,,,,,,,,,,,,,
135,,,,,,,,,,,,,,,,
136,,,,,,,,,,,,,,,,
137,,,,,,,,,,,,,,,,
138,,,,,,,,,,,,,,,,
139,,,,,,,,,,,,,,,,
140,,,,,,,,,,,,,,,,
141,,,,,,,,,,,,,,,,
142,,,,,,,,,,,,,,,,
143,,,,,,,,,,,,,,,,
144,,,,,,,,,,,,,,,,
145,,,,,,,,,,,,,,,,
146,,,,,,,,,,,,,,,,
147,,,,,,,,,,,,,,,,
148,,,,,,,,,,,,,,,,
149,,,,,,,,,,,,,,,,
150,,,,,,,,,,,,,,,,
